,Condition,Recording,Question,Reponse,Reponse_juste,Frequence mouvements du regard
0,c1,r1,q1,12,0,0.4389454930374933
1,c1,r1,q2,8,1,3.648276218289039
2,c1,r1,q3,10,1,4.471687892394979
3,c1,r1,q4,13,0,3.7999368591887004
4,c1,r1,q5,12,1,4.644950319675803
5,c1,r1,q6,10,0,4.045724704994829
6,c1,r1,q7,15,0,2.1774083452871364
7,c1,r1,q8,14,1,3.906253349493154
8,c1,r1,q9,14,0,3.58591128788812
9,c1,r1,q10,12,0,3.7154315533767757
10,c1,r3,q1,12,0,0.37007823985978106
11,c1,r3,q2,8,1,3.795024952289061
12,c1,r3,q3,10,1,4.091206825600176
13,c1,r3,q4,14,1,2.8223792092257933
14,c1,r3,q5,12,1,3.5263469186051037
15,c1,r3,q6,9,0,2.9884720245075367
16,c1,r3,q7,12,0,2.5487028079710172
17,c1,r3,q8,12,0,2.460672547083493
18,c1,r3,q9,14,0,3.8924678344228125
19,c1,r3,q10,11,0,2.8306012965128406
20,c1,r5,q1,12,0,1.6545461691699608
21,c1,r5,q2,8,1,2.8676436851250764
22,c1,r5,q3,10,1,3.016200159393817
23,c1,r5,q4,14,0,3.6984065387827605
24,c1,r5,q5,14,0,3.2505724988728475
25,c1,r5,q6,9,0,3.1339603050963944
26,c1,r5,q7,13,0,2.771617889098168
27,c1,r5,q8,15,0,3.350112433495615
28,c1,r5,q9,13,0,4.031305675828691
29,c1,r5,q10,11,0,2.867261300496734
30,c2,r2,q1,15,0,0.37641691643533953
31,c2,r2,q2,9,1,4.2201520701654545
32,c2,r2,q3,11,1,4.161581573626547
33,c2,r2,q4,13,0,684.7416730521545
34,c2,r2,q5,13,0,1.5092018552450717
35,c2,r2,q6,12,1,3.640153887505594
36,c2,r2,q7,13,0,3.9664022398506766
37,c2,r2,q8,15,1,4.641852676133753
38,c2,r2,q9,14,1,5.04970907031401
39,c2,r2,q10,11,0,3.8815551872765996
40,c2,r4,q1,13,0,0.5916146806958543
41,c2,r4,q2,9,1,2.8053179172197655
42,c2,r4,q3,13,0,876.4790584110686
43,c2,r4,q4,11,0,1.706097971386955
44,c2,r4,q5,13,1,4.478986674054862
45,c2,r4,q6,12,1,3.48741892209877
46,c2,r4,q7,12,0,3.719121989680676
47,c2,r4,q8,15,1,5.340561565086834
48,c2,r4,q9,14,1,4.880517468061033
49,c2,r4,q10,12,1,2.847923721211051
50,c2,r6,q2,9,0,5.266666666666667
51,c2,r6,q3,11,1,0.2797458823373083
52,c2,r6,q4,12,0,3.033950942590913
53,c2,r6,q5,12,0,3.2740998303260724
54,c2,r6,q6,10,0,6.182387980201289
55,c2,r6,q7,15,1,3.5768540750842988
56,c2,r6,q8,16,0,4.3998970005064075
57,c2,r6,q9,15,0,5.536166669619289
58,c2,r6,q10,12,1,6.848336003769324
59,c2,r6,q1,0,0,623.8400474118436
60,c3,r7,q1,14,0,0.6854625959011604
61,c3,r7,q2,9,1,3.18473112509385
62,c3,r7,q3,11,1,3.2175540033049743
63,c3,r7,q4,12,0,3.3273090435336745
64,c3,r7,q5,13,1,4.330714421571639
65,c3,r7,q6,11,0,2.6252735973823054
66,c3,r7,q7,17,0,5.819979874509594
67,c3,r7,q8,15,0,7.047683892412748
68,c3,r7,q9,14,1,3.634554133744109
69,c3,r7,q10,12,0,3.0344402057383943
70,c3,r8,q1,13,0,0.5859939600250247
71,c3,r8,q2,9,1,3.620474190820083
72,c3,r8,q3,11,1,2.99745630568271
73,c3,r8,q4,13,0,2.633898007097132
74,c3,r8,q5,13,1,3.871698975625885
75,c3,r8,q6,11,0,2.7809644189650764
76,c3,r8,q7,15,0,5.296761509019719
77,c3,r8,q8,15,1,6.370647454209644
78,c3,r8,q9,14,1,4.344526930750642
79,c3,r8,q10,12,1,2.6337860287591592
80,c3,r9,q1,13,0,0.5322231987825904
81,c3,r9,q2,9,1,3.3956272470563307
82,c3,r9,q3,11,1,4.255621569703038
83,c3,r9,q4,11,0,4.182590869485085
84,c3,r9,q5,13,1,4.079547868809135
85,c3,r9,q6,10,0,3.711404547400896
86,c3,r9,q7,17,0,6.033103689806328
87,c3,r9,q8,15,1,4.341884169845562
88,c3,r9,q9,14,1,3.788045614938193
89,c3,r9,q10,11,0,3.287810675447518
